Source_JA	Target_En	Translation_En_Ours	Human_Score
休暇のシーズンでちょっと活気がないですが、それが普通です。	It's been a bit slow with the holiday season but that's normal.	"There is no bit of fun in the season, but that is normal."	60
今日はお越しいただいてありがとうございます。	Again thank you for coming in today.	Thank you for coming today.	100
先週送って頂いた提案についてお話したかったんです。	I wanted to discuss the proposal you sent me last week.	I wanted to talk about the proposal I sent last week.	40
はい、マーケットリサーチに関する件ですね。	"Yes, the one regarding the market research."	"Yes, it is about market research."	90
社内で内容を検討したのですが、ちょっと我々が求めていたものとは違っていた感じがあります。	I reviewed the contents internally and felt that it wasn't quite something we were looking for.	"I've considered the content within the company, but it feels a bit different from what we were looking for."	85
もう少し具体的にお話して頂けますか。	Can you be a bit more specific?	Can you tell me a little more specifically?	100
リサーチがもっと多くのトピックを掘り下げるのを期待していました。	We were hoping that the research will cover more topics in depths.	I was expecting a lot more of research to be grown up.	60
しかしおおむねすでに私たちが知っている情報をカバーしていました。	But it basically covers information we already know.	"However, we have covered the information we already know."	100
会社への聞き取り調査など、もっと実地調査を期待されていましたか？	Were you expecting more field work like interviewing companies?	Have you been expecting more research on the company?	50
はい、そうです。	That's correct.	Yes yes yes.	100
その場合、私共のサービスの料金体制が変わってきます。	"If that's the case, the cost structure for our service would be different."	"In that case, our service system will change."	60
それでは一律料金ではなくなるということですか？	So it won't be a flat price?	So it will not be the cost of the stock?	30
組み合わせになりますね。	It will be a combination.	It will be a doesn't it.	0
ですから基本料金の上に、実地調査を行う期間中に月々の依頼料がかかります。	So there will be the base price plus a monthly retainer fee for the duration of the field work.	So it will take a monthly request fee on the basic price.	10
また、旅費と毎日の食費もかかります。	"Also, travel expense and a daily meal allowance would have to be covered as well."	"Also, it will cost you a travel costs and a day food fee."	60
そうですか。	I see.	Yes is?	0
上司と話し合うので、その料金体制で別の提案を出して頂けますか？	How about you give me another proposal with that cost structure so I can discuss it with my boss.	"We're going to talk to our boss, so can you make another proposal on the price structure?"	60
はい、すぐにご用意できます。	Yeah I can whip that up quickly.	"Yes, you can be prepared immediately."	10
週末までに改訂した提案をお渡しします。	I think I can get you a revised proposal by the end of the week.	I will give you a suggestion that you have corrected by the end of the week	50
大変ありがたいです。	That would be great.	It is very grateful.	60
できるだけ早く送ってください。	Please send it to us as soon as you can.	Please send it as soon as possible.	100
そうします。	Will do.	Will do.	100
では、今日はお越しいただきありがとうございました。	"Well, thank you for coming today."	Thank you for coming today.	100
機会を頂き、ありがとうございます。	Thank you for the opportunity.	Thank you for the opportunity.	100
ベンです。	This is Ben speaking.	Hi this is Ben.	100
ベンさん、こんにちは、A社のデニスです。	Hi Ben this is Dennis from Company A.	"Hi Ben, this is Dennis from Company A."	100
ああ、デニスさん、こんにちは。	"Oh, hi Dennis."	"Oh Mr Dennis, hello to you."	90
お元気でしたか？	How have you been?	How are you doing?	100
元気にしていました、ありがとうございます。	I've been good thank you.	"I was well, thank you."	50
最後にお話したのはいつでしたっけ？	When was the last time we talked?	When was the last time you talked?	10
２年ほど前に御社の保険を更新した時だったと思います。	I think it was around two years ago when we renewed your insurance.	I think it was when I updated your company’s insurance about two years ago.	100
ああ、そうでしたね。	Oh right.	"Oh, it was so."	60
今日お電話したのもその件なんです。	And I'm calling in regards to that.	"I called you today, that is the case."	20
えっ、もう更新の時期ですか？	Oh is it time for a renewal already?	"Oh, is it time for the update?"	90
そうなんですよ。	That's right.	Yes is it.	100
来年御社の販売量が拡大するかどうかお聞きしたかったんです。	I just wanted to ask if your sales volume will be increasing in the next year.	I wanted to ask you if your company will expand the sale level next year.	90
それが保険料を算出する要素になるんですよ。	That will factor into calculating the insurance rate.	It will be an element that calculates the insurance fee.	90
私たちの輸出事業のことですか？	You mean for our export business?	Is it about our export business?	100
はい、そうです。	Yes that's correct.	Yes yes yes.	100
そうですね、現在の販売高は400万ドル前後です。	"Well, we are doing around four million in sales right now."	"Yes, the current sales is about four million dollars."	100
来年は600万ドルに拡大すると見込んでいます。	We anticipate that will increase to six million next year.	We will expand to $ 9 million next year.	85
割引料金にしてもらえますかね？	Do you think we can get a discounted rate?	Can you give me a discount?	100
そう思いますよ。	I think so.	I think so.	100
御社はこれまで一度も保険請求をなさっていません。	You guys haven't had any insurance claims since you started.	You have never charged insurance before.	70
つまりローリスクとみなされるんですよ。	So you guys would be deemed low risk.	That is considered a low risk.	90
割引料金をご提供できると思います。	I think I can get you guys a lower rate.	I think you can provide a discount fee.	10
それは素晴らしい。	That would be great.	That is great.	100
料金に関しては来週またご連絡いたします。	I'll get back to you next week in regards to the rate.	We will contact you again next week for the fees.	100
分かりました。	Sounds good.	I understood.	100
どうもありがとうございました。	Thank you very much.	Thank you very much.	100
さようなら。	Goodbye.	Goodbye to you.	85
それでは。	Bye now.	And then.	0
はい、ブルースです。	Hi this is Bruce.	"Yes, it is Bruce."	90
ちょっと私の部屋に来てくれますか？	Can you come to my office?	Can you come to my room for a second?	100
はい、すぐに伺います。	"Yes, I'll be right there."	"Yes, I will be right there."	100
お呼びでしょうか？	You wanted to see me?	Do you call me?	60
うん、そこにかけて。	"Yeah, have a seat."	"Yes, there you are."	100
あるイベントでプレゼンをやるんだが、うちの会社の紹介をしなくてはいけないんだ。	I'm actually doing a presentation at an event and will need to introduce our company.	"We have to make a presentation at a event, but we need to introduce our company."	70
それが、来週なんだよ。	It's happening next week.	That's next week.	100
今年既に君が作ってくれたプレゼンを見直していたんだが、書き換えが必要なところがあるんだ。	I was reviewing the presentation you made for me earlier this year and realized that it needs to be updated.	"I've already review the presentation you made this year, but I need you to change it."	70
それなら、もちろんできますよ。	Sure I can do that.	"Well, of course you can."	10
会社プレゼンの新しいバージョンが総務部から出ているか調べてくれるかい？	Can you check if there's a new version of the company presentation from the administration department?	Can you check if the new version of the company presentation will be from the general department?	40
はい、大抵ホームページの社内コンテンツに新しいのをアップしています。	"Yeah, they usually post new ones on the internal website."	"Yes, we usually increase the company’s content on our website."	40
更新版が出ているかチェックしてみます。	I'll check if they have an updated one.	I'll check if the version will be available.	20
前回のプレゼンと資産の数字も変わっているんだ。	There's also some changes to our assets since the last presentation.	The number of previous presentation and assets has changed.	5
そうですね、売却資産と企業買収のところに変更があります。	"Right, there have been some changes with selling off assets and acquiring companies."	"Yes, there is a change to the sales assets and companies."	50
プレゼンの変更箇所のリストを送るよ。	I'll send a list of changes for the presentation.	I will send you a list of changes in the presentation.	100
それだと助かります。	That will be helpful.	That will help.	100
今日帰るまでに原稿を仕上げられる？	Do you think you can make me a draft by the end of today?	Can you finish the writing by the end of the day?	90
できると思います。	I think so.	I think you can.	10
内容を加えたり削除したりするだけなので、すぐできるでしょう。	It's just adding and removing content so it should be quick.	You can add and delete it.	0
良かった。	Great.	It was good.	40
できたら知らせてくれ。	Let me know when you finish.	Let me know if you can.	0
はい、原稿ができましたらすぐにお送りします。	"Yeah, I'll send over a draft as soon as I finish."	"Yes, I will send you immediately if you get the writing."	0
サムさんこんにちは、頼みごとをしてもいいかな？	"Hi Sam, can you do me a favor?"	"Hi Sam, can you do a request?"	60
もちろんです。	Sure.	of course.	100
政府の方との会議の手配をして欲しいのだけど。	I need you to arrange a meeting with someone from the government.	I want to arrange a meeting with the government.	70
どなたか特に面会したい方はいらっしゃいますか？	Is there a specific person you want to see?	Who do you want to meet?	80
研究開発の助成金についてアドバイスをくれる人を探しているんだ。	I'm looking for someone that can give us advice on subsidies for research and development.	I'm looking for someone who give me advice about research and development.	65
我々のプロジェクトに使える政府のプログラムがあるか知りたいんだよね。	I want to see if there are any government programs that we can use for our project.	You want to know if you can use the government programs for our projects.	10
多分助成金を支給してくれる政府主導のプログラムがあると思うんです。	I think there might be some government-run programs that provides grants.	I think there is a government- they provide a grant.	20
政府に知り合いがいるので彼が適切なアドバイスをくれるんじゃないかなと思いますよ。	I know someone in the government so maybe he can direct me in the right direction.	I think he will give us the appropriate advice since we have someone to know the government.	5
では君に任せるよ。	I'll leave this to you then.	I will leave it to you.	100
来週会議ができるか調整してみて。	Try to see if you can arrange a meeting for next week.	Let me adjust if you can get a meeting next week.	5
もしくは再来週でもいいよ。	Or even the week after.	Or you can be the next week.	0
承知しました。	Okay.	I realized.	80
弊社からは誰が出席する予定ですか？	Who will be attending from our side?	Who will be present from our company?	100
ベンさんと私です。	It will be Ben and myself.	Hi Ben and I.	50
君も参加した方が良いかもしれないね。	"Actually, maybe you should join too."	You may also be better to participate.	90
会議の手配をしているのは君なんだから。	Since you are the one arranging the meeting.	You are the one who arranges the meeting.	100
承知しました。	Okay.	I realized.	80
では、予定を空けておきます。	I will keep my schedule open.	I will keep your schedule.	20
とにかく会議が確定できたらお知らせいたします。	"Anyways, I'll let you know once I can confirm this meeting."	"Anyways, I will inform you if the meeting is confirmed."	100
確認が取れたら教えてくれ。	Let me know when you do.	Let me know if you can confirm it.	70
はい、見せてください。	"Ok, show it to me."	"Yes, let me see."	100
で、どう思われますか？	"So, what do you think?"	So what do you think?	100
ええ、できてますね。	"Yes, it's working."	"Yes, it is made."	30
で、それを加えてこうしたと？	So you did this by adding that?	"And then, what does that mean?"	0
ええ、溶液に一度くぐらせ全体を温めないと乳化しなかったんです。	"Yes, I had to run it through a solution and then heat it though, otherwise it won't emulsify."	"Yes, I did not let the entire room warm once in the solution."	0
この状態が保たれていますね。	It's maintaining its state.	This state is kept.	100
すごい、やりましたね！	"My goodness, you finally did it!"	"Wow, you did it!"	100
これは技術的驚異ですよ。	This is a technological marvel.	This is a technical wonder.	85
よくやりました、健さん。	"Well done, Ken."	I'm doing it well Mr. Ken.	0
誇りに思います。	I am so proud of you.	I am proud of you.	100
ありがとうございます。	Thank you.	Thank you.	100
本当に長く大変な作業でした。	It was really long and laborious.	It was really a long time.	60
これは特許化しないと。	We need to patent this.	This should be patented.	100
前にやったことはありますか？	Have you done it before?	Have you ever done it before?	100
いいえ、一度も。	"No, never."	"No, once."	0
では、これはいい勉強の機会になりますから、やりましょう。	"Ok, this is going to be a great learning experience for you, so do it."	"So, this will be a good opportunity to learn."	100
どこから始めればよいでしょうか？	Where do I start?	Where can we start?	100
特許弁護士の情報をメールしますね。	I'll email you our patent attorney's info.	I will email you the patent lawyer information.	100
でもその前に、カレンに先行特許検索について話してください。	"But before that, talk to Karen about searching for existing patents."	"But before that, talk about the front patents search for a lot of things."	0
徹底的に調査して、同じもの、また似たものがないことを確認する必要があります。	"You need to search thoroughly to make sure nobody has the same thing, or even something similar."	We need to investigate it thoroughly and make sure that there is no similar thing.	70
カレンに条件について聞いてみてください、彼女は何度もやっていますから。	"Ask Karen about the criteria, she's done this many times."	Please ask her conditions and she has done it many times.	10
分かりました、申請プロセスはどのくらいかかりますか。	"Ok, and how long is the filing process?"	"I know, how long will the application process take?"	50
えっと、証明するための研究が必要になります。	Well you need some studies for proof.	"Well, we need a research to make sure that it is useful."	15
実験ログはありますか？	Do you have the experiment log?	Do you have any lab logs?	70
書きなぐったものがあちこちに。	It's really scribbled and all over the place.	The ones that have written around.	0
じゃ、これがうまくいくことをしっかり確かめるためにも、綺麗な状態のものを別に作りたいかも知れません。	"Well, maybe you want to run another one with a clean slate, might as well to be absolutely certain this works."	"So, you might want to create a beautiful thing to make sure this will work well."	5
どのくらいで出来ますか？	How long will that take you?	How long can you do it?	80
分からないですが、一ヶ月くらいでしょうか。	"I don’t know, about a month?"	"I don’t know, but about a month?"	100
２週間でやってみてくれ。	Try to do it in 2 weeks.	Let me try it in two weeks.	0
全ての応用に関して申請するつもりだから、どんどん進めてくれないと。	We will file for all the applications as well so you have to start cracking on that.	"We are planning to apply for all the application, so we need to proceed."	50
わあ、たくさんやることがありますね。	"Wow, there is a lot to do."	"Oh, there is a lot to do."	100
出来るなら、来月末までにこれを申請したいからね。	Hopefully we can get this filed by the end of next month.	"If you can, I want to apply for this by the end of the month."	50
今日の通勤はひどかった。	My commute today was horrible.	Today's travel was hard.	60
何かあったの？	Oh what happened?	What happened?	100
いつも乗る電車が予告なしにキャンセルになったんですよ。	The train that I usually take was cancelled without notice.	The train on board was cancelled without a notification.	70
ひどいわね。	That sucks.	It is bad.	90
じゃあ、どうやって来たの？	How did you get to work then?	How did you get here?	100
バスに乗らなくちゃいけなくて。	I had to take the bus.	I have to take the bus.	80
えっ、バスで来られるの？	Oh you can get to work by bus?	Can you come by bus?	40
ええ、でも３回乗り換えないといけません。	"Yeah, but I have to transfer three times."	"Yes, but we need to change three times."	70
それは大変だわ。	That's not fun.	It is hard.	60
そう、僕が乗る時間はいつも満員ですよ。	"Yeah, the bus is always full by the time I get on."	"Yeah, the time I get on it is always full."	100
降り忘れたら困るから眠れないし。	And I can't sleep because I'm scared I'll miss my stop.	"If you forget to go down, you can’t sleep."	0
自動車通勤は考えたことある？	Have you thought of driving to work?	Have you ever thought about car commuting?	95
ベンはやってるわよ。	I know Ben drives to work.	Ben is doing it.	100
考えたことありますけど、駐車代が高すぎて。	I thought about it but the parking is too expensive.	"I have thought about it, but the parking price is too expensive."	100
いくらくらい？	How much is it?	How much is it?	100
月に100ドルくらい。	It's around four hundred dollars a month.	Around $ 100 a month.	0
えー、それは高いわね。	Wow that's expensive.	"Oh, that is expensive."	100
それに、毎週ガソリン入れないといけないし。	"Plus, you need to fill up on gas on a weekly basis."	And we need to get gasoline every week.	100
ベンは会社が発行している駐車券を持ってるはずよ。	I think Ben has a parking pass issued by the company.	Ben should have a parking ticket issued by the company.	90
えー、どうやって手に入れたんだろう？	"Oh what, how come he gets one?"	"Oh, how did you get it?"	30
さあ。	Beats me.	Okay.	0
聞いてみれば。	You can ask him!	If you ask.	0
今聞いてみます。	I will ask him now.	I will ask you now.	0
ベン、ちょっと。	Hey Ben.	"Ben, a little."	80
何？	Yes?	What is it?	100
駐車券、会社が発行したんですか？	Did the company issue you a parking pass?	Has the parking ticket issued?	20
そうだよ。	Yeah.	Yes is.	100
自分の車を仕事に使ってるから発行してくれたんだよ。	They issued one because I use my car for work.	I have been using my own car for my work.	40
僕ももらえるかな？	Can I get one too?	Can I get it too?	100
本当にほしいの？	Are you sure you want one?	Do you really want it?	100
どうしてですか？	Why do you say that?	Why is it?	100
自動車通勤は君が思うほど良くないよ。	Driving to work isn't as good as you think it is.	The car travel is not as good as you think.	75
タチの悪いドライバーや、ふらふら出てくる歩行者がいっぱいいるし。	There's a lot of bad drivers and pedestrians that jaywalk.	There are a lot of sorry driver and there are a lot of skiers.	5
実は、駐車券を返して、電車通勤にしようかと思っているところなんだ。	I'm actually thinking of returning the parking pass and just take the train to work.	I'm actually trying to return parking tickets and make a train travel.	90
へー、そうですか。	"Oh, is that right."	"Oh, is that right?"	100
うん、俺だったら考え直すな。	"Yeah, I would give it another thought."	"Yes, if it was me, don't review it."	0
うーん、そうですね、よく考えてみます。	"Hmm, yeah I'll think about it."	"Yes, I’m going to think about it."	100
もしもし、A社のサム リーといいます。	Hi this is Sam Lee from Company A.	If you are a company of Sam Lee.	0
どちらさま？	Who?	Which one is it?	5
A社のサム リーです。	I'm Sam Lee from Company A.	Hi this is Sam Lee from Company A.	100
ああ、そうでしたか。	"Oh, right."	"Oh, is that right?"	30
お元気ですか？	How are you doing?	How are you doing?	100
はい、元気です。	I'm good thank you.	"Yes, I am well."	100
昨日のメールが届いているか知りたかったんです。	I just wanted to see if you got my email yesterday.	I wanted to know if the email was received yesterday.	95
ああ、はい、明日のミーティングの日程変更の件ですよね？	"Oh yes, the one about rescheduling the meeting tomorrow, right?"	"Oh yes, it's about the change of schedule for tomorrow's meeting, right?"	100
そうです。	"Yes, that's right."	and yes.	10
見たんですが、午前中ずっとパソコンの調子が悪くて。	"I did see it, but my computer has been giving me issues all morning."	"I saw it, but it was always in the morning."	0
ご返事できなくてすみませんでした。	Sorry for not replying your email.	I'm sorry I couldn't answer that.	95
いいえ、大丈夫です。	No not at all.	"No, it is okay."	100
それでですね、明日のミーティングを来週に再調整できないかお伺いしたかったんです。	So I wanted to ask if we can reschedule the meeting tomorrow to next week.	"So, I wanted to ask you if you can’t adjust the meeting tomorrow."	60
実は、来週はサンフランシスコで会議に出席するんですよ。	I'm actually attending a conference in San Francisco next week.	"In fact, we will be present to a meeting in San Francisco next week."	30
でも、木曜日の夜には戻りますんで、金曜日は空いてます。	"But I'll be back on Thursday night, so I'll be free on Friday."	"But we'll be back on Thursday night, so it's free on Friday."	30
金曜日でもいいでしょうか？	Would Friday work with you?	Can I make it Friday?	70
はい、大丈夫です。	"Yes, that would be perfect."	"Yes, it is okay."	100
金曜日は何時でも大丈夫です。	I'm available any time on Friday.	It is okay on Friday.	230
では、10時でどうでしょうか？	How does ten o'clock sound?	So what about 10 o'clock?	100
いいですよ。	That sounds great.	Well is.	10
新しいミーティング招待を送ってくれますか？	Can you send me a new meeting invite?	Can you send me a new meeting invitation?	100
はい、このお電話の後にお送りします。	"Yes, I will send it to you after this call."	"Yes, I will send you after this phone."	90
どうも。	Thanks.	Thank you.	100
急に変更いただきすみません。	Thank you very much for changing the meeting on such short notice.	Sorry for changing suddenly.	100
大丈夫ですよ。	No worries.	It is OK.	100
では、来週のミーティングを楽しみにしています。	I'll look forward to the meeting next week.	I'm looking forward to the meeting next week.	100
こちらこそ。	Same here.	This is here.	0
良い1日を。	Hope you have a nice day.	A good day.	5
そちらも。	You too.	You too.	100
失礼します。	Bye now.	Bye now.	100
リサ、今週必ずフードエキスポに登録してください。	"Lisa, make sure to register for the Food Expo this week."	"Lisa, please register the Food Expo this week."	90
6ヶ月前に登録すると30パーセントの割引になるから。	They’re offering 30 percent off for registering 6 months in advance.	"If you register 6 months ago, it will be a discount of 30 percent."	5
了解したわ、エリック。	Sure thing Eric.	"I understand, Eric."	100
あなたのチームは一年中フードエキスポを楽しみにしているわね。	I know your team has been anticipating the Food Expo all year.	Your team will look forward to the Food Expo all year.	10
何がそんなに素晴らしいの？	What's so great about it anyway?	What is great?	30
何をするの？	What do you do there?	What do you do?	60
一言で言えば、食品ベンダーがレストラン、ホテル、食料品店に売り込むチャンスなんだ。	"In a nutshell, it's a chance for vendors of food items to pitch to restaurants, hotels, and grocery stores."	"In other words, food vendor is a opportunity to sell it to the restaurant, hotel, food store."	20
でもそれだけじゃないんだよ、リサ。	"But, it's so much more than that Lisa."	"But it's not the only thing, Lisa."	100
展示ホール、専門家主導のワークショップ、料理のデモンストレーション、そしてたくさんの食べ物があるんだ！	"There are exhibit halls, expert-led workshops, culinary demonstrations, and so much food!"	"The exhibition room, an expert- long-term workshop, cooking demonstration, and a lot of food!"	60
全て無料で試食することができるんだ！	You get to sample everything for free!	You can try everything for free!	80
それから毎晩、飲み物も振る舞われてお祭り騒ぎするんだ！	"Then each night, they serve drinks, and it's a big party!"	"Then, we will get a lot of trouble for a restaurant that goes on the action every night!"	0
それは確かに楽しそうね。	It sure sounds like fun.	That's really fun.	90
仕事をするのを忘れないようにね！	Make sure you don't forget to work!	Do not forget to do your job!	100
ああ、働いているよ。	Oh we work.	"Oh, I work."	20
沢山のことを成し遂げて、見込み客との長い関係を築くことができるんだ。	"We get a lot accomplished, and are able to build lasting relationships with prospective clients."	You can do a lot and build a long relationship with potential customers.	80
最初の朝は皆、数日間ブースの準備と製品のセットアップをしていたものだからピリピリしているんだ。	"The first morning, everyone is tense because they've spent the last few days preparing their booths and setting up their products."	The first morning is that we set up a lot of things and product setting up our booth for a few days.	5
で、初日の後はみんな歩き回って、羽目をはずす気になるんだ。	"Then after the first day, everyone walking around, people are ready to cut loose."	Then everyone was walking around after the first day and was worried to remove the ship.	5
そこから親密な関係を築くんだよ。	This is when the real rapport building happens.	We will build a close relationship from there.	80
みんな気を緩めているだろ。	Everyone has their guard down.	Everyone is calm.	40
それは僕らにとって、将来の買い手との本物のコミュニケーションをするチャンスなんだ。	It gives us a chance for genuine communication with prospective buyers.	It is a opportunity to communicate with us a real buyer for the future.	20
実際、昨年はファストフードバーガーチェーンAと契約することができたんだ。	"Actually, last year I was able to close the deal with Fast Food Burger Chain A."	"In fact, last year I was able to contract with Fast Food all companies A."	10
今、彼らはうちのチーズだけをチーズバーガーに使っているよ。	Now they use our cheese exclusively on their cheeseburgers.	They use our cheese as a cheese look for a cheese look when it's now.	0
それは素晴らしいわねエリック。	That's awesome Eric.	That's great Eric.	100
今年の目標は何？	What are your goals for this year?	What's the goal of this year?	100
今年は製品Aを発売することにしたんだ。	We have decided to launch Product A this year.	We decided to release a product this year.	85
うまくいけば、業界の話題の多くを占めるだろうね。	"Hopefully, this will create a lot of industry buzz."	"If it goes well, it will accounts for a lot of the industry’s topics."	60
ハンズオンの実演もやるんだけど、とても面白いんだ。	We're having a hands on demonstration that is quite entertaining.	"I’m going to give you a yearly demonstration of the hands on, but it’s"	0
今年は若い人が沢山雇われたね。	So many young employees are hired this year.	"This year, a lot of young people have been hired."	100
ミレニアルが多すぎだと思うよ。	Too many millennials if you ask me.	I think there are too many Mikey.	10
一緒に働いてみてどんな感じかい？	How has it been having them work for you?	How do you work together?	100
順応しないといけないのは確かだね。	It's definitely an adjustment.	You are sure you need to be able to do it.	5
我らの世代とは全く違うのは知ってるだろう？	You know they are very different from our generation.	"You know that the generation is completely different, right?"	100
私にとっても学ぶ機会になってるよ。	It has been a learning experience for me as well.	It's a opportunity to learn from me too.	100
明らかにミレニアルは違う勤労倫理を持っているよね。	"Obviously, the millennials have different work ethic."	"Well, Mi breakroom is clearly ethical."	0
私は批判的かもしれないけど。	I might sound a little judgmental here.	I may be a bit important.	10
彼らは少々甘やかされていて、怠けている感じがするね。	But they come off a little bit entitled and lazy.	They feel a bit slow and lazy.	75
言いたいことわかるよ。	I see what you are saying.	I know what you want to say.	100
我らの世代は、出世のために仕事に時間も労力も費やしてきただろう。	Our generation is willing to invest our time and effort in order to build our careers.	Our generation has spent time and effort on work for the career.	80
一般的に我々は自分自身の仕事、会社の為に献身的なんだ。	We were generally committed to our jobs and the companies we work for.	"In general, we are usually how we do our own work and help our company."	10
そうだよ、私は25年間ずっとそうやってきた。	"Yep, that's what I have been doing for the last 25 years."	"Yes, I have been doing that for 25 years."	100
でもミレニアルは我々ほど献身的ではなさそうだね。	But the millennials don't seem as committed as we are.	But Mi angry doesn't seem as we are so we are still so helpless.	0
数年経つと、新しい機会を見つけて去っていく傾向にあるんだ。	They tend to leave for new opportunities after a few years.	"In several years, we tend to find a new opportunity to leave."	10
何を優先させるかというのも違うよね？	"Their priorities are different too, right?"	"It’s different from what you want, right?"	10
彼らは長い目で見て、自分に有利になる様な事を求めているようだ。	It seems that they wanted something that benefit them in the long run.	They look for a long run and looking for something that will benefit for them.	90
ミレニアルは不景気や職の不安定さを経験しているから、どんな事でも同じ状況が続くとは期待していないんだよ。	"With the bad economy and the job insecurities the millennials have experienced, they don't expect things to stay the same."	Mr. some things that we have experience the slow economy and job are not expecting anything to continue the same situation.	0
彼らが頻繁に職を変えるのはそれが理由かい？	Is that the reason they tend to switch jobs more frequently?	Is that why they change their jobs often?	90
多分ね、でも私の勘違いかもしれないけど。	"Maybe, but I could be mistaken."	"Maybe, but I’m wrong."	0
今年うちに雇われた従業員は真面目そうだけどね。	The ones we hired this year seem pretty decent though.	The employees we have been hired this year are serious.	90
そうだね。	I agree with you.	Yes is.	70
彼らが違う世代なんだという事を受け入れないといけないんだよ。	I need to accept the fact that they are totally different generation.	They need to accept that they are different consumers.	0
そして少し大目に見てあげないと。	And I need to cut them some slack.	And we need to see a little bit of it.	30
マリッサとケイラブの働きぶりを見たけど、彼らはとても真面目だよ。	"I have supervised Marissa and Caleb, and they work really hard."	"I saw the work of Marissa and Kately work, but they are very serious."	60
ただ数年後には彼らも我々の元を去ってしまうのか心配だけど。	I am just afraid they will leave us in a few years.	"But in a few years, they will be leaving us."	50
それは私も心配だね。	That's my fear too.	I am worried too.	100
彼らは失うには勿体ない人材だよ。	They are too good to let go.	They are very rough to lose.	10
それは、もう一つ考えなければいけない事だね。	That's another thing to consider.	That's another thing I need to think about.	85
どうにかして従業員の離職率を低めて、定着率を上げる方法を見つけないといけないな。	We have to figure out ways to reduce turnover and increase employee retention.	We need to get down the employee's turnover rate and find a way to increase the until the's until the is now.	0
私にいけてる上司になれという意味かい？	Does that mean I have to be the coolest boss to make them like me?	Do you mean you will be a great boss to me?	0
ならなくてもいいけど、なるとプラスにはなるね。	"You don't have to, but it probably will help."	"You don’t have to, but it’s going to be a plus."	100
でも君は君のままでいいよ。	But you just have to be you.	But you can stay as you.	100
もうすでに君は若い従業員にとって素晴らしい見本だよ。	You are a great role model for them already.	You are already a great opportunity for young employees.	100
有難う。	Thank you for saying that.	Thank you.	100
じゃあ今からまた最高の上司になって若い子たちの手助けをしてくるよ。	Now let me get back to being an awesome boss and help those young people.	Then I will be the best boss and help young people.	20
話せて良かったよ。	It was nice chatting with you.	I'm glad you can talk to me.	10
